area_type,size,bath,balcony,price,total_sqft
Built-up  Area,3 BHK,2.0,1.0,52.0,1650
Super built-up  Area,3 BHK,3.0,2.0,127.0,1559
Built-up  Area,2 BHK,2.0,1.0,38.0,1100
Super built-up  Area,3 BHK,3.0,3.0,150.0,1750
Super built-up  Area,2 BHK,2.0,1.0,45.5,1215
Super built-up  Area,3 BHK,3.0,1.0,135.0,1868
Built-up  Area,2 BHK,2.0,1.0,32.63,1130
Super built-up  Area,3 BHK,3.0,3.0,64.5,1570
Super built-up  Area,3 BHK,3.0,1.0,98.0,1691
Built-up  Area,5 Bedroom,3.0,1.0,350.0,4355
Super built-up  Area,2 BHK,2.0,2.0,55.0,1225
Super built-up  Area,3 BHK,3.0,2.0,112.0,1690
Super built-up  Area,2 BHK,2.0,2.0,103.0,1418
Super built-up  Area,4 BHK,3.0,1.0,125.0,1896
Super built-up  Area,1 BHK,1.0,1.0,40.0,605
Plot  Area,5 Bedroom,5.0,2.0,95.0,800
Super built-up  Area,2 BHK,2.0,2.0,32.5,900
Plot  Area,1 Bedroom,2.0,0.0,50.0,750
Plot  Area,3 Bedroom,3.0,1.0,62.0,780
Super built-up  Area,2 BHK,2.0,1.0,26.0,908
Built-up  Area,4 Bedroom,6.0,0.0,143.0,3369 - 3464
Super built-up  Area,4 BHK,4.0,1.0,226.0,3216
Plot  Area,5 Bedroom,4.0,1.0,225.0,2400
Built-up  Area,2 BHK,2.0,2.0,68.0,1400
Super built-up  Area,2 BHK,2.0,2.0,44.0,1092
Super built-up  Area,2 BHK,2.0,2.0,74.0,1255
Built-up  Area,3 BHK,2.0,1.0,100.0,1500
Super built-up  Area,2 BHK,2.0,2.0,72.0,1296
Super built-up  Area,2 BHK,2.0,3.0,38.0,925
Built-up  Area,2 BHK,2.0,2.0,42.0,1023
Built-up  Area,2 BHK,3.0,2.0,75.0,600
Super built-up  Area,2 BHK,2.0,1.0,44.5,1020
Super built-up  Area,3 BHK,3.0,2.0,77.0,1530
Super built-up  Area,3 BHK,3.0,2.0,71.0,1650
Built-up  Area,3 BHK,2.0,3.0,85.0,1605
Super built-up  Area,2 BHK,2.0,1.0,50.0,1925
Super built-up  Area,2 BHK,2.0,2.0,50.66,1190
Super built-up  Area,3 BHK,3.0,2.0,68.0,1374
Built-up  Area,2 BHK,2.0,2.0,65.0,1140
Super built-up  Area,3 BHK,3.0,2.0,130.0,1725
Super built-up  Area,3 BHK,2.0,1.0,50.0,1075
Super built-up  Area,3 BHK,3.0,1.0,93.34,1574
Built-up  Area,1 BHK,1.0,1.0,32.0,965
Super built-up  Area,3 BHK,3.0,2.0,83.0,1550
Super built-up  Area,2 BHK,2.0,2.0,60.0,1205
Super built-up  Area,3 BHK,2.0,1.0,55.0,1082
Super built-up  Area,3 BHK,2.0,2.0,52.85,1215
Super built-up  Area,4 BHK,5.0,2.0,230.0,2483
Plot  Area,2 Bedroom,3.0,1.0,46.14,1200
Super built-up  Area,1 BHK,1.0,1.0,19.5,1500
Plot  Area,4 Bedroom,4.0,2.0,600.0,2360
Super built-up  Area,4 BHK,4.0,,250.0,3198
Super built-up  Area,3 BHK,3.0,3.0,60.98,1452
Super built-up  Area,3 BHK,2.0,2.0,41.0,1329
Super built-up  Area,2 BHK,2.0,1.0,44.0,1125
Plot  Area,2 Bedroom,2.0,0.0,70.0,1200
Built-up  Area,3 BHK,3.0,3.0,39.97,1350
Super built-up  Area,3 BHK,3.0,0.0,51.19,1125 - 1500
Super built-up  Area,3 BHK,3.0,2.0,195.0,2600
Plot  Area,2 Bedroom,2.0,1.0,160.0,1200
Built-up  Area,3 BHK,3.0,1.0,35.23,1220
Super built-up  Area,2 BHK,2.0,1.0,80.0,1255
Super built-up  Area,3 BHK,3.0,3.0,155.0,1904
Super built-up  Area,2 BHK,2.0,2.0,70.0,1329
Plot  Area,2 Bedroom,2.0,1.0,60.0,1200
Super built-up  Area,3 BHK,3.0,2.0,160.0,2135
Super built-up  Area,3 BHK,4.0,3.0,315.0,2770
Built-up  Area,1 BHK,1.0,1.0,39.0,813
Plot  Area,4 Bedroom,4.0,3.0,240.0,3884
Plot  Area,3 Bedroom,3.0,1.0,300.0,3876
Super built-up  Area,2 BHK,2.0,2.0,30.0,800
Plot  Area,4 Bedroom,2.0,1.0,120.0,4750
Super built-up  Area,3 BHK,3.0,3.0,70.0,1500
Super built-up  Area,3 BHK,3.0,2.0,95.0,1880
Super built-up  Area,3 BHK,2.0,2.0,55.0,1440
Super built-up  Area,3 BHK,3.0,,90.0,1575
Super built-up  Area,3 BHK,2.0,2.0,97.78,1630
Super built-up  Area,3 BHK,3.0,1.0,55.0,1180
Built-up  Area,2 BHK,2.0,1.0,36.0,1090
Super built-up  Area,2 BHK,2.0,2.0,48.45,1020
Built-up  Area,4 BHK,4.0,3.0,173.0,2425
Super built-up  Area,2 BHK,2.0,1.0,33.82,1097
Super built-up  Area,2 BHK,2.0,1.0,50.0,1070
Super built-up  Area,2 BHK,2.0,1.0,58.0,1000
Plot  Area,8 Bedroom,8.0,,150.0,1120
Super built-up  Area,2 BHK,2.0,1.0,56.0,1150
Built-up  Area,3 BHK,4.0,2.0,145.0,1900
Super built-up  Area,2 BHK,2.0,2.0,49.0,1141
Built-up  Area,2 BHK,2.0,1.0,44.0,937
Built-up  Area,2 BHK,2.0,1.0,60.0,1075
Super built-up  Area,2 BHK,2.0,1.0,65.3,1000
Super built-up  Area,3 BHK,3.0,,77.41,1450
Plot  Area,5 Bedroom,2.0,1.0,85.0,897
Super built-up  Area,2 BHK,2.0,2.0,43.0,936
Built-up  Area,2 BHK,2.0,1.0,75.0,1280
Super built-up  Area,2 BHK,2.0,3.0,45.0,1050
Super built-up  Area,2 BHK,2.0,1.0,86.0,1350
Super built-up  Area,2 BHK,2.0,1.0,70.0,1325
Super built-up  Area,2 BHK,2.0,1.0,59.0,1174
Super built-up  Area,3 BHK,3.0,2.0,162.0,1890
Super built-up  Area,1 BHK,1.0,1.0,75.0,735
Built-up  Area,1 BHK,1.0,0.0,24.0,500
Super built-up  Area,3 BHK,3.0,3.0,80.0,1304
Built-up  Area,3 BHK,3.0,2.0,120.0,1653
Super built-up  Area,3 BHK,2.0,1.0,52.0,1075
Super built-up  Area,2 BHK,3.0,1.0,42.0,1212
Built-up  Area,2 BHK,2.0,1.0,50.0,1100
Super built-up  Area,4 BHK,6.0,3.0,500.0,3436
Plot  Area,3 Bedroom,4.0,0.0,145.0,1200
Super built-up  Area,2 BHK,2.0,2.0,50.0,1140
Plot  Area,2 Bedroom,2.0,1.0,100.0,1200
Super built-up  Area,3 BHK,3.0,2.0,83.0,1532
Plot  Area,3 Bedroom,4.0,2.0,195.0,2776
Super built-up  Area,3 BHK,2.0,0.0,75.0,1531
Super built-up  Area,3 BHK,2.0,2.0,50.79,1270
Super built-up  Area,2 BHK,2.0,1.0,53.0,1325
Plot  Area,3 Bedroom,3.0,1.0,160.0,1200
Super built-up  Area,3 BHK,2.0,2.0,44.0,1156
Plot  Area,4 Bedroom,4.0,2.0,320.0,2000
Super built-up  Area,2 BHK,2.0,2.0,70.0,1260
Super built-up  Area,2 BHK,2.0,0.0,90.0,1934
Super built-up  Area,2 BHK,2.0,1.0,40.0,1060
Super built-up  Area,3 BHK,3.0,1.0,95.0,1476
Super built-up  Area,2 BHK,2.0,1.0,85.0,1185
Super built-up  Area,3 BHK,2.0,1.0,82.0,1265
Built-up  Area,4 BHK,5.0,1.0,150.0,3200
Super built-up  Area,2 BHK,2.0,2.0,56.81,1196
Built-up  Area,2 BHK,2.0,1.0,69.0,1280
Plot  Area,4 Bedroom,4.0,2.0,86.0,800
Built-up  Area,2 BHK,2.0,,45.0,1175
Built-up  Area,3 BHK,3.0,3.0,98.0,1850
Plot  Area,4 Bedroom,4.0,2.0,525.0,2400
Super built-up  Area,2 BHK,2.0,1.0,70.0,1195
Super built-up  Area,3 BHK,3.0,3.0,185.0,2000
Carpet  Area,7 BHK,4.0,0.0,100.0,600
Plot  Area,4 Bedroom,5.0,3.0,155.0,800
Super built-up  Area,2 BHK,2.0,2.0,36.5,1180
Super built-up  Area,2 BHK,2.0,1.0,49.87,1050
Built-up  Area,3 BHK,2.0,1.0,40.44,1400
Plot  Area,4 Bedroom,4.0,2.0,150.0,2360
Super built-up  Area,2 BHK,2.0,1.0,77.25,1030
Super built-up  Area,2 BHK,1.0,2.0,65.01,1512
Built-up  Area,2 BHK,2.0,1.0,48.0,929
Super built-up  Area,3 BHK,3.0,3.0,61.0,1252
Built-up  Area,3 BHK,3.0,2.0,115.0,1485
Super built-up  Area,3 BHK,2.0,2.0,55.0,1124
Plot  Area,6 Bedroom,6.0,3.0,370.0,2400
Built-up  Area,3 BHK,3.0,1.0,120.0,1407
Super built-up  Area,3 BHK,2.0,3.0,97.0,1482
Super built-up  Area,2 BHK,2.0,1.0,98.86,1163
Super built-up  Area,3 BHK,3.0,2.0,140.0,1570
Super built-up  Area,3 BHK,4.0,,284.0,3480
Super built-up  Area,1 BHK,1.0,1.0,14.04,520
Super built-up  Area,3 BHK,3.0,2.0,160.0,2000
Super built-up  Area,2 BHK,2.0,2.0,75.0,1352
Super built-up  Area,2 BHK,2.0,1.0,65.0,1152
Built-up  Area,3 BHK,3.0,2.0,93.0,1575
Super built-up  Area,3 BHK,4.0,2.0,125.0,1965
Built-up  Area,3 BHK,2.0,2.0,70.0,1300
Plot  Area,4 Bedroom,4.0,,120.0,1
Super built-up  Area,2 BHK,2.0,1.0,47.0,957
Super built-up  Area,3 BHK,3.0,3.0,60.0,1740
Plot  Area,5 Bedroom,6.0,3.0,65.0,1080
Super built-up  Area,2 BHK,2.0,0.0,35.0,1060
Carpet  Area,2 BHK,2.0,2.0,50.0,975
Super built-up  Area,2 BHK,2.0,2.0,51.0,1150
Super built-up  Area,3 BHK,2.0,3.0,79.0,1738
Super built-up  Area,3 BHK,3.0,2.0,55.0,1250
Built-up  Area,3 BHK,3.0,2.0,90.0,1788
Super built-up  Area,2 BHK,2.0,1.0,59.0,1151
Super built-up  Area,3 BHK,2.0,2.0,60.0,1300
Super built-up  Area,2 BHK,2.0,1.0,52.8,1150
Super built-up  Area,2 BHK,2.0,1.0,75.0,1380
Super built-up  Area,3 BHK,3.0,2.0,117.0,1645
Super built-up  Area,2 BHK,2.0,1.0,45.9,1141
Super built-up  Area,2 BHK,2.0,2.0,82.5,1175
Super built-up  Area,3 BHK,2.0,1.0,61.0,1355
Built-up  Area,2 BHK,2.0,0.0,70.0,1150
Super built-up  Area,5 BHK,5.0,,80.0,5800
Built-up  Area,2 BHK,2.0,2.0,45.0,1000
Super built-up  Area,2 BHK,2.0,1.0,65.0,1007
Super built-up  Area,4 BHK,5.0,2.0,100.0,3000
Super built-up  Area,3 BHK,3.0,3.0,70.0,1436
Super built-up  Area,4 BHK,4.0,3.0,220.0,4000
Built-up  Area,3 BHK,3.0,,140.0,2372
Plot  Area,6 Bedroom,6.0,,240.0,1500
Super built-up  Area,3 BHK,3.0,2.0,10.0,167Sq. Meter
Plot  Area,2 Bedroom,2.0,0.0,150.0,1200
Super built-up  Area,2 BHK,2.0,1.0,58.0,1016
Super built-up  Area,2 BHK,2.0,2.0,48.0,1100
Super built-up  Area,2 BHK,2.0,1.0,45.0,1080
Super built-up  Area,2 BHK,2.0,1.0,60.0,1070
Super built-up  Area,3 BHK,3.0,1.0,115.0,1532
Super built-up  Area,2 BHK,2.0,2.0,42.12,1040
Plot  Area,3 Bedroom,3.0,3.0,250.0,3100
Super built-up  Area,2 BHK,2.0,0.0,48.905,1076 - 1199
Super built-up  Area,3 BHK,2.0,2.0,51.6,1430
Plot  Area,2 Bedroom,1.0,0.0,163.0,1160
Super built-up  Area,4 BHK,5.0,2.0,205.0,3262
Plot  Area,7 Bedroom,7.0,0.0,410.0,2100
Built-up  Area,2 BHK,2.0,2.0,100.0,1190
Super built-up  Area,3 BHK,3.0,3.0,100.0,1827
Super built-up  Area,2 BHK,2.0,1.0,75.0,1210
Super built-up  Area,3 BHK,3.0,3.0,95.0,1500
Super built-up  Area,2 BHK,2.0,2.0,53.5,1050
Super built-up  Area,2 BHK,2.0,1.0,88.73,1251
Super built-up  Area,3 BHK,2.0,2.0,115.0,1600
Super built-up  Area,2 BHK,2.0,1.0,65.5,1128
Super built-up  Area,3 BHK,3.0,2.0,93.0,1820
Super built-up  Area,3 BHK,4.0,2.0,159.0,2072
Super built-up  Area,3 BHK,2.0,3.0,59.0,1510
Super built-up  Area,3 BHK,2.0,3.0,114.0,1925
Plot  Area,3 Bedroom,2.0,2.0,225.0,2651
Super built-up  Area,3 BHK,4.0,2.0,147.0,2072
Super built-up  Area,2 BHK,2.0,2.0,36.0,1000
Plot  Area,3 Bedroom,3.0,2.0,145.0,1752
Super built-up  Area,2 BHK,2.0,3.0,56.0,960
Super built-up  Area,2 BHK,2.0,2.0,63.0,1180
Built-up  Area,3 BHK,3.0,1.0,180.0,2270
Built-up  Area,2 Bedroom,2.0,0.0,59.0,650
Super built-up  Area,2 BHK,2.0,1.0,75.0,1200
Super built-up  Area,3 BHK,2.0,1.0,46.0,1180
Super built-up  Area,3 BHK,3.0,2.0,47.0,1300
Built-up  Area,2 BHK,2.0,0.0,40.0,1157
Super built-up  Area,3 BHK,3.0,2.0,69.0,1300
Super built-up  Area,3 BHK,2.0,1.0,59.0,1305
Super built-up  Area,3 BHK,4.0,2.0,196.0,2006
Super built-up  Area,2 BHK,2.0,1.0,80.0,1290
Super built-up  Area,2 BHK,2.0,3.0,45.0,1170
Plot  Area,4 Bedroom,2.0,2.0,135.0,971
Super built-up  Area,2 BHK,2.0,3.0,78.0,1400
Super built-up  Area,2 BHK,2.0,2.0,75.0,1200
Built-up  Area,3 BHK,2.0,0.0,60.0,1155
Built-up  Area,3 BHK,3.0,2.0,85.0,1725
Super built-up  Area,2 BHK,2.0,1.0,40.0,700
Built-up  Area,4 Bedroom,5.0,,2050.0,7000
Super built-up  Area,2 BHK,2.0,1.0,88.0,1112
Super built-up  Area,2 BHK,2.0,,78.0,1178
Super built-up  Area,2 BHK,2.0,1.0,81.0,1274
Super built-up  Area,2 BHK,2.0,1.0,32.0,915
Plot  Area,8 Bedroom,6.0,2.0,135.0,1650
Super built-up  Area,1 BHK,1.0,2.0,21.28,760
Built-up  Area,3 BHK,3.0,2.0,68.0,1540
Super built-up  Area,2 BHK,2.0,3.0,38.5,1206
Super built-up  Area,3 BHK,3.0,2.0,95.0,1645
Plot  Area,4 Bedroom,4.0,2.0,170.0,1200
Plot  Area,4 Bedroom,4.0,1.0,140.0,1200
Super built-up  Area,4 BHK,3.0,2.0,115.0,2342
Super built-up  Area,3 BHK,2.0,1.0,55.0,1200
Super built-up  Area,2 BHK,2.0,2.0,33.0,1056
Plot  Area,8 Bedroom,8.0,,225.0,4800
Super built-up  Area,3 BHK,3.0,3.0,54.3,1450
Super built-up  Area,2 BHK,2.0,2.0,36.69,1161
Super built-up  Area,2 BHK,2.0,3.0,65.0,1097
Built-up  Area,2 BHK,2.0,2.0,35.0,850
Super built-up  Area,3 BHK,3.0,2.0,115.0,1715
Super built-up  Area,3 BHK,3.0,,317.0,2300
Super built-up  Area,2 BHK,2.0,1.0,59.0,1200
Super built-up  Area,2 BHK,2.0,2.0,38.0,1080
Super built-up  Area,2 BHK,2.0,1.0,50.3,1200
Plot  Area,4 Bedroom,4.0,0.0,550.0,2400
Super built-up  Area,3 BHK,2.0,1.0,78.0,1400
Plot  Area,4 Bedroom,4.0,3.0,200.0,1500
Carpet  Area,1 BHK,1.0,0.0,19.695,381 - 535
Super built-up  Area,2 BHK,2.0,1.0,57.0,1230
Built-up  Area,3 BHK,3.0,3.0,88.0,1640
Super built-up  Area,3 BHK,3.0,2.0,125.0,1700
Super built-up  Area,3 BHK,2.0,,44.0,1478
Super built-up  Area,4 BHK,4.0,,986.0,6600
Super built-up  Area,2 BHK,2.0,2.0,40.79,1020
Plot  Area,2 Bedroom,2.0,1.0,150.0,1200
Built-up  Area,3 BHK,2.0,2.0,95.0,1275
Built-up  Area,4 Bedroom,3.0,1.0,165.0,1600
Super built-up  Area,2 BHK,2.0,2.0,38.85,1110
Super built-up  Area,3 BHK,3.0,2.0,88.0,1627.86
Built-up  Area,2 BHK,2.0,1.0,22.0,620
Plot  Area,4 Bedroom,4.0,2.0,285.0,3004
Super built-up  Area,2 BHK,2.0,1.0,52.0,1133
Super built-up  Area,2 BHK,2.0,2.0,82.5,1182
Super built-up  Area,3 BHK,3.0,3.0,100.0,1500
Super built-up  Area,4 BHK,5.0,,360.0,3900
Super built-up  Area,2 BHK,2.0,2.0,58.0,1200
Super built-up  Area,2 BHK,2.0,1.0,48.79,1128
Super built-up  Area,3 BHK,,,293.0,2215 - 2475
Built-up  Area,2 BHK,2.0,2.0,110.0,900
Built-up  Area,2 BHK,2.0,1.0,45.0,1100
Super built-up  Area,2 BHK,1.0,1.0,22.0,635
Super built-up  Area,4 BHK,3.0,,140.0,2062
Built-up  Area,3 BHK,4.0,1.0,130.0,1874
Plot  Area,4 Bedroom,3.0,2.0,78.0,600
Super built-up  Area,2 BHK,2.0,2.0,75.0,1171
Super built-up  Area,3 BHK,3.0,3.0,85.0,2020
Super built-up  Area,2 BHK,2.0,2.0,34.5,1059
Super built-up  Area,3 BHK,2.0,1.0,59.1,1315
Super built-up  Area,3 BHK,3.0,2.0,110.0,1760
Built-up  Area,2 Bedroom,2.0,1.0,125.0,1200
Super built-up  Area,3 BHK,2.0,1.0,62.0,1192
Super built-up  Area,3 BHK,3.0,2.0,121.0,1645
Super built-up  Area,2 BHK,2.0,2.0,72.0,1250
Super built-up  Area,1 BHK,1.0,0.0,34.385,524 - 894
Super built-up  Area,2 BHK,2.0,1.0,77.0,1340
Built-up  Area,3 BHK,4.0,3.0,239.0,2388
Super built-up  Area,2 BHK,2.0,1.0,104.0,1369.1
Super built-up  Area,2 BHK,2.0,3.0,75.0,1355
Built-up  Area,2 BHK,2.0,2.0,65.0,1150
Super built-up  Area,3 BHK,3.0,3.0,113.0,1938
Super built-up  Area,4 BHK,4.0,3.0,124.0,2462
Super built-up  Area,3 BHK,3.0,2.0,85.0,1636
Super built-up  Area,3 BHK,2.0,2.0,75.0,1430
Super built-up  Area,3 BHK,3.0,2.0,85.0,2000
Carpet  Area,3 BHK,2.0,2.0,50.0,993
Plot  Area,4 Bedroom,4.0,1.0,150.0,1260
Super built-up  Area,3 BHK,3.0,3.0,88.0,1700
Super built-up  Area,2 BHK,2.0,2.0,78.0,1270
Plot  Area,3 Bedroom,3.0,1.0,121.0,1500
Built-up  Area,3 BHK,3.0,3.0,290.0,2300
Plot  Area,4 Bedroom,4.0,2.0,900.0,7500
Super built-up  Area,3 BHK,3.0,3.0,86.45,1650
Super built-up  Area,2 BHK,2.0,1.0,63.0,1109
Super built-up  Area,2 BHK,2.0,1.0,49.75,1280
Built-up  Area,4 Bedroom,3.0,1.0,185.0,2885
Plot  Area,9 Bedroom,9.0,1.0,145.0,1200
Plot  Area,3 Bedroom,3.0,2.0,180.0,1600
Super built-up  Area,3 BHK,3.0,3.0,71.0,1462
Super built-up  Area,1 BHK,1.0,1.0,35.0,607
Super built-up  Area,2 BHK,2.0,0.0,25.0,930
Plot  Area,4 Bedroom,5.0,2.0,300.0,4500
Plot  Area,5 Bedroom,5.0,,160.0,1200
Super built-up  Area,3 BHK,3.0,1.0,237.0,2600
Super built-up  Area,4 BHK,4.0,2.0,140.0,3000
Super built-up  Area,3 BHK,3.0,2.0,52.47,1418
Built-up  Area,2 Bedroom,1.0,2.0,160.0,4200
Built-up  Area,2 BHK,2.0,1.0,65.0,1125
Super built-up  Area,3 BHK,3.0,2.0,126.0,1825
Super built-up  Area,2 BHK,2.0,3.0,79.5,1320
Built-up  Area,4 Bedroom,4.0,2.0,140.0,3000
Super built-up  Area,3 BHK,2.0,2.0,300.0,1490
Plot  Area,4 Bedroom,3.0,1.0,300.0,1650
Super built-up  Area,2 BHK,2.0,1.0,52.7,750
Super built-up  Area,3 BHK,2.0,2.0,80.54,1400
Super built-up  Area,4 BHK,4.0,3.0,360.0,4104
Built-up  Area,4 BHK,4.0,0.0,375.0,5000
Plot  Area,5 Bedroom,4.0,2.0,260.0,3295
Plot  Area,4 Bedroom,3.0,1.0,110.0,1150
Plot  Area,3 Bedroom,3.0,1.0,61.96,1200
Built-up  Area,2 BHK,2.0,2.0,48.0,965
Plot  Area,1 Bedroom,1.0,1.0,26.0,812
Super built-up  Area,2 BHK,2.0,2.0,43.0,1100
Super built-up  Area,2 BHK,2.0,2.0,41.0,1180
Super built-up  Area,2 BHK,2.0,2.0,48.0,1145
Super built-up  Area,2 BHK,2.0,1.0,44.0,1027
Super built-up  Area,2 BHK,2.0,2.0,49.85,1215
Plot  Area,2 Bedroom,2.0,0.0,75.0,1200
Super built-up  Area,2 BHK,2.0,2.0,58.0,1015
Plot  Area,3 Bedroom,3.0,1.0,165.0,2400
Plot  Area,4 Bedroom,4.0,3.0,306.0,3000
Built-up  Area,3 Bedroom,4.0,3.0,160.0,3300
Super built-up  Area,2 BHK,2.0,2.0,52.0,1076
Super built-up  Area,2 BHK,2.0,1.0,109.0,1300
Built-up  Area,2 BHK,2.0,2.0,102.0,1300
Super built-up  Area,3 BHK,3.0,1.0,123.0,1512
Carpet  Area,3 BHK,3.0,1.0,88.91,1053.4
Super built-up  Area,1 BHK,1.0,0.0,41.745,540 - 670
Super built-up  Area,2 BHK,2.0,1.0,65.0,1153
Plot  Area,2 Bedroom,2.0,1.0,150.0,2080
Super built-up  Area,2 BHK,2.0,2.0,69.0,1255
Built-up  Area,4 BHK,5.0,,260.0,315Sq. Yards
Super built-up  Area,3 BHK,3.0,3.0,109.0,1583
Super built-up  Area,2 BHK,2.0,2.0,90.0,1505
Super built-up  Area,3 BHK,2.0,2.0,75.08,1365
Plot  Area,3 Bedroom,3.0,3.0,95.75,1200
Super built-up  Area,3 BHK,4.0,3.0,148.0,1810
Built-up  Area,1 Bedroom,1.0,0.0,35.0,440
Super built-up  Area,2 BHK,2.0,1.0,63.0,975
Super built-up  Area,2 BHK,2.0,3.0,39.0,1250
Super built-up  Area,3 BHK,2.0,1.0,97.0,1530
Super built-up  Area,3 BHK,2.0,2.0,39.0,1300
Super built-up  Area,2 BHK,2.0,1.0,40.0,1115
Super built-up  Area,2 BHK,2.0,1.0,83.0,1308
Super built-up  Area,2 BHK,2.0,2.0,47.0,1194
Super built-up  Area,3 BHK,2.0,2.0,59.6,1490
Plot  Area,4 Bedroom,4.0,0.0,450.0,10000
Super built-up  Area,3 BHK,3.0,1.0,91.0,1592
Super built-up  Area,2 BHK,2.0,0.0,112.0,1222
Super built-up  Area,2 BHK,2.0,2.0,42.85,1267
Super built-up  Area,1 BHK,1.0,1.0,53.0,656
Plot  Area,4 Bedroom,4.0,3.0,530.0,3400
Built-up  Area,4 BHK,5.0,,400.0,4500
Plot  Area,2 Bedroom,1.0,1.0,36.0,1200
Super built-up  Area,3 BHK,3.0,2.0,102.0,1698
Built-up  Area,3 BHK,3.0,2.0,70.0,1500
Plot  Area,4 Bedroom,5.0,0.0,80.0,2000
Super built-up  Area,2 BHK,2.0,1.0,65.75,1152
Super built-up  Area,1 BHK,1.0,0.0,21.0,550
Super built-up  Area,2 BHK,2.0,2.0,42.0,900
Super built-up  Area,3 BHK,2.0,2.0,45.12,1410
Built-up  Area,3 BHK,2.0,3.0,73.0,1419
Super built-up  Area,2 BHK,2.0,1.0,55.0,1200
Super built-up  Area,3 BHK,3.0,3.0,65.0,1800
Super built-up  Area,2 BHK,2.0,1.0,40.0,990
Super built-up  Area,2 BHK,2.0,1.0,45.0,1016
Super built-up  Area,2 BHK,2.0,0.0,39.0,1100
Built-up  Area,4 BHK,2.0,1.0,65.0,850
Super built-up  Area,2 BHK,2.0,1.0,35.0,1095
Super built-up  Area,3 BHK,3.0,2.0,85.0,2000
Super built-up  Area,2 BHK,2.0,2.0,70.0,1444
Super built-up  Area,2 BHK,2.0,3.0,67.0,1415
Plot  Area,3 Bedroom,2.0,1.0,130.0,1500
Super built-up  Area,3 BHK,3.0,3.0,72.0,1600
Super built-up  Area,2 BHK,2.0,1.0,41.36,1105
Super built-up  Area,3 BHK,3.0,0.0,45.03,1225
Super built-up  Area,3 BHK,3.0,2.0,265.0,2560
Super built-up  Area,2 BHK,2.0,1.0,37.8,1080
Plot  Area,7 Bedroom,3.0,3.0,150.0,2400
Super built-up  Area,3 BHK,3.0,2.0,135.0,1856
Super built-up  Area,3 BHK,3.0,2.0,56.0,1464
Plot  Area,6 Bedroom,6.0,2.0,71.0,2100
Super built-up  Area,2 BHK,2.0,2.0,77.0,1150
Plot  Area,5 Bedroom,4.0,1.0,98.0,1200
Super built-up  Area,3 BHK,,,113.19,1650 - 2538
Super built-up  Area,3 BHK,2.0,2.0,67.0,1485
Super built-up  Area,3 BHK,3.0,3.0,75.0,2500
Plot  Area,2 Bedroom,2.0,1.0,45.0,1200
Super built-up  Area,2 BHK,2.0,1.0,59.46,1036
Plot  Area,4 Bedroom,5.0,3.0,270.0,3445
Super built-up  Area,2 BHK,2.0,2.0,80.0,1400
Super built-up  Area,2 BHK,2.0,2.0,33.0,1110
Built-up  Area,2 BHK,2.0,3.0,48.0,1150
Super built-up  Area,1 BHK,1.0,1.0,45.0,715
Plot  Area,4 Bedroom,4.0,0.0,130.0,1200
Plot  Area,5 Bedroom,3.0,1.0,260.0,1200
Super built-up  Area,4 BHK,4.0,2.0,130.0,2283
Plot  Area,6 Bedroom,5.0,1.0,250.0,1790
Super built-up  Area,3 BHK,2.0,2.0,43.58,1453
Built-up  Area,3 BHK,2.0,1.0,85.0,1400
Super built-up  Area,3 BHK,3.0,0.0,65.0,1400
Super built-up  Area,3 BHK,3.0,1.0,140.0,1700
Super built-up  Area,3 BHK,3.0,1.0,120.0,1591
Super built-up  Area,3 BHK,2.0,1.0,79.0,1515
Built-up  Area,5 Bedroom,3.0,3.0,200.0,2500
Super built-up  Area,2 BHK,2.0,1.0,24.86,975
Super built-up  Area,3 BHK,2.0,2.0,76.18,1382
Plot  Area,7 Bedroom,5.0,2.0,350.0,1750
Super built-up  Area,3 BHK,3.0,2.0,150.0,1533
Super built-up  Area,3 BHK,3.0,1.0,763.0,3815
Super built-up  Area,2 BHK,2.0,2.0,38.0,1100
Super built-up  Area,4 BHK,6.0,2.0,450.0,3730
Super built-up  Area,3 BHK,2.0,1.0,120.0,1500
Super built-up  Area,3 BHK,2.0,2.0,64.5,1391
Super built-up  Area,2 BHK,2.0,2.0,42.92,1160
Built-up  Area,1 BHK,1.0,1.0,27.0,620
Plot  Area,8 Bedroom,9.0,3.0,350.0,2400
Plot  Area,8 Bedroom,7.0,3.0,130.0,1200
Built-up  Area,4 Bedroom,4.0,3.0,400.0,4827
Super built-up  Area,3 BHK,3.0,3.0,60.98,1482
Super built-up  Area,2 BHK,2.0,2.0,84.5,1405
Built-up  Area,2 BHK,2.0,2.0,40.0,1190
Super built-up  Area,2 BHK,2.0,1.0,78.0,1174
Plot  Area,2 Bedroom,2.0,0.0,72.0,1155
Super built-up  Area,3 BHK,3.0,1.0,93.04,1411
Super built-up  Area,2 BHK,2.0,0.0,50.0,745
Super built-up  Area,2 BHK,2.0,2.0,30.0,1000
Super built-up  Area,2 BHK,2.0,1.0,50.0,923
Built-up  Area,2 BHK,2.0,2.0,32.0,1000
Super built-up  Area,2 BHK,2.0,2.0,45.0,1276
Built-up  Area,3 BHK,3.0,2.0,70.0,1460
Super built-up  Area,2 BHK,2.0,1.0,95.0,1355
Super built-up  Area,1 BHK,1.0,1.0,49.0,833
Built-up  Area,8 Bedroom,8.0,,275.0,1200
Plot  Area,5 Bedroom,5.0,1.0,450.0,1750
